41_40 1084 R=6 short=4 certificate OK: 31 lemmas, 444 steps; Gamma^+ is not left-orderable
41_40 1088 R=6 short=4 certificate OK: 23 lemmas, 605 steps; Gamma^+ is not left-orderable
41_40 1096 R=6 short=4 certificate OK: 18 lemmas, 223 steps; Gamma^+ is not left-orderable
41_40 1098 R=6 short=4 certificate OK: 10 lemmas, 137 steps; Gamma^+ is not left-orderable
41_40 1123 R=6 short=4 certificate OK: 11 lemmas, 156 steps; Gamma^+ is not left-orderable
41_40 1124 R=6 short=4 certificate OK: 12 lemmas, 138 steps; Gamma^+ is not left-orderable
41_40 1176 R=6 short=4 certificate OK: 24 lemmas, 696 steps; Gamma^+ is not left-orderable
41_40 1177 R=6 short=4 certificate OK: 21 lemmas, 326 steps; Gamma^+ is not left-orderable
41_40 1208 R=6 short=4 certificate OK: 11 lemmas, 141 steps; Gamma^+ is not left-orderable
41_40 1217 R=6 short=4 certificate OK: 13 lemmas, 129 steps; Gamma^+ is not left-orderable
41_41 86 R=6 short=4 certificate OK: 10 lemmas, 136 steps; Gamma^+ is not left-orderable
41_41 95 R=6 short=4 certificate OK: 33 lemmas, 526 steps; Gamma^+ is not left-orderable
41_41 230 R=6 short=4 certificate OK: 10 lemmas, 201 steps; Gamma^+ is not left-orderable
41_41 249 R=6 short=4 certificate OK: 13 lemmas, 128 steps; Gamma^+ is not left-orderable
41_41 255 R=6 short=4 certificate OK: 23 lemmas, 294 steps; Gamma^+ is not left-orderable
41_41 276 R=6 short=4 certificate OK: 10 lemmas, 136 steps; Gamma^+ is not left-orderable
41_41 382 R=6 short=4 certificate OK: 10 lemmas, 190 steps; Gamma^+ is not left-orderable
41_41 391 R=6 short=4 certificate OK: 13 lemmas, 128 steps; Gamma^+ is not left-orderable
41_41 402 R=6 short=4 certificate OK: 18 lemmas, 229 steps; Gamma^+ is not left-orderable
41_41 404 R=6 short=4 certificate OK: 18 lemmas, 229 steps; Gamma^+ is not left-orderable
41_41 410 R=6 short=4 certificate OK: 17 lemmas, 240 steps; Gamma^+ is not left-orderable
41_41 416 R=6 short=4 certificate OK: 18 lemmas, 223 steps; Gamma^+ is not left-orderable
41_41 418 R=6 short=4 certificate OK: 27 lemmas, 373 steps; Gamma^+ is not left-orderable
41_41 420 R=6 short=4 certificate OK: 18 lemmas, 223 steps; Gamma^+ is not left-orderable
41_41 432 R=6 short=4 certificate OK: 18 lemmas, 223 steps; Gamma^+ is not left-orderable
41_41 434 R=6 short=4 certificate OK: 18 lemmas, 223 steps; Gamma^+ is not left-orderable
