OVERFLOW active=3001 total=3196
  ATAtaTATaaTaaTat -> TAtATAtaaaaaTaaaaTaaT
  ATAtaTATaaTaaTaat -> TAtATAtaaaaaTaaaaTaaaaT
  ATAtaTATaaTaaTaaat -> TAtATAtaaaaaTaaaaTaaaaaaT
  ATAtaTATaaTaaTaaaat -> TAtATAtaaaaaTaaaaTaaaaaaaaT
  ATAtaTATaaTaaTaaaaat -> TAtATAtaaaaaTaaaaTaaaaaaaaaaT
  tATAtaTAATaTaTaat -> AAtATAtaaaTaaTaaaaT
  ATAtaTATaTaTaaTat -> TAtATAtaaaTaaTaaaaTaaT
  ATAtaTATaTaTaaTaat -> TAtATAtaaaTaaTaaaaTaaaaT
  ATAtaTATaTaTaaTaaat -> TAtATAtaaaTaaTaaaaTaaaaaaT
  ATAtaTATaTaTaaTaaaat -> TAtATAtaaaTaaTaaaaTaaaaaaaaT
  ATAtaTATaTaTaaTaaaaat -> TAtATAtaaaTaaTaaaaTaaaaaaaaaaT
  TAtaTAtAt -> aTAtAtAA
  ATAAtaTAtA -> TAtATAAt
  aTAAtATAta -> TAtaTAAt
  taTAAtaTAtA -> TatAtATAAt
  taaaaaaaaaTAtaTAtA -> TaaaaatAtATAt
  aTAtATATaaaaat -> TAtaTAtaaaaaaaaaT
  TAtaTAAtaTAt -> TATatAtATAAta
  taaaaaaaaaaaTAtaTAtA -> TaaaaaatAtATAt
  aTAtATATaaaaaat -> TAtaTAtaaaaaaaaaaaT
  TAtaTAAtaTATat -> TATatAtATAAtaaaT
  TAtaTAAtaTATaat -> TATatAtATAAtaaaaaT
