coordinate qsharp lift
197 692574299491637741625656327252704847557281203895155515776821556425881096924440001/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
198 -561851880424229532769526480162036022207082081257963716878734868807531060873791642/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
199 645599199312226653981975472587836325683173438026989458629515292336977173977364030/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
200 96110512120345824658950511668333450243366127495005028407629707199116253295988874/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
201 -160323447985816021414964832030870950415505487275615948324671006799698806444810581/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
202 0 0
203 -196860085706321154798824082163485129298441015873568758583043628678509679789360755/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
204 0 0
205 -289844690462889061372767765667327321108070438795943866840669430831299672125141404/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
206 -428166861348013893846395127265682938513414693653610585126299339917759378033167936/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
207 212671805787485877456555940849840828385202207588749622085026273176302954467575991/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
208 197200318223706216539768600730869721333883691786823708607239836013841015248248417/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
209 871310129833904794218925392070550395269192802806769147774065576312889729444325046/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
210 975366649875933182789888835324796678206135384296180362070661093716522165626269360/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
211 -918412460877710229104233842392686333571157118615074569649535987951092964522594508/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
212 196860085706321154798824082163485129298441015873568758583043628678509679789360755/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
213 271617888493772595716196049529010078107688894912917696784006279963161376918714929/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
214 380796544684152251358138948810131223343197303837771414021121479788535952736775759/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
